2015-07-24 04-25-06 [FINE]: Ignore Air Blocks is TRUE - removing air blocks found in the schematic from the export list.
2015-07-24 04-25-06 [INFO]: Added F:\Forge\Mods\StarWarsMod\schematics\mos eisley\Full.schematic to the list of files to convert.
2015-07-24 04-25-27 [INFO]: Beginning conversion of F:\Forge\Mods\StarWarsMod\schematics\mos eisley\Full.schematic (output class: Full)
2015-07-24 04-25-27 [FINE]: Output file did not exist:  Creating...
2015-07-24 04-25-27 [FINE]: Opening file output stream
2015-07-24 04-25-27 [INFO]: Writing file header
2015-07-24 04-25-27 [INFO]: Conditional Spawning is FALSE
2015-07-24 04-25-27 [INFO]: Writing Blocks to file
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
2015-07-24 04-25-27 [INFO]: Method length approaching size limit - splitting to next method.
